"OTU","S1_1","S2_1","S3_1","S4_1","Taxonomic lineage"
"unkn. Clostridiales(o)","38239","31923","34808","5351","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);unkn. Clostridiales(o);unkn. Clostridiales(o)"
"unkn. Anaerocolumna(g)","7983","3021","1248","333","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;unkn. Anaerocolumna(g)"
"unkn. Bacteria(d)","6570","9190","8100","12990","Bacteria;unkn. Bacteria(d);unkn. Bacteria(d);unkn. Bacteria(d);unkn. Bacteria(d);unkn. Bacteria(d);unkn. Bacteria(d)"
"unkn. Clostridium(g)","4904","7354","6824","2909","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;unkn. Clostridium(g)"
"unkn. Actinobacteria(c)","4053","4685","3340","11412","Bacteria;Actinobacteria;Actinobacteria;unkn. Actinobacteria(c);unkn. Actinobacteria(c);unkn. Actinobacteria(c);unkn. Actinobacteria(c)"
"unkn. Lactobacillus(g)","3368","455","782","2386","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;unkn. Lactobacillus(g)"
"unkn. Lachnospiraceae(f)","3075","1940","3606","521","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unkn. Lachnospiraceae(f);unkn. Lachnospiraceae(f)"
"unkn. Bacteroidia(c)","2387","2627","2250","5218","Bacteria;Bacteroidetes;Bacteroidia;unkn. Bacteroidia(c);unkn. Bacteroidia(c);unkn. Bacteroidia(c);unkn. Bacteroidia(c)"
"Roseburia sp. 831b","2138","278","460","284","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. 831b"
"unkn. Firmicutes(p)","1908","2108","2069","3060","Bacteria;Firmicutes;unkn. Firmicutes(p);unkn. Firmicutes(p);unkn. Firmicutes(p);unkn. Firmicutes(p);unkn. Firmicutes(p)"
"unkn. Bacteroidetes(p)","1845","3300","2586","2189","Bacteria;Bacteroidetes;unkn. Bacteroidetes(p);unkn. Bacteroidetes(p);unkn. Bacteroidetes(p);unkn. Bacteroidetes(p);unkn. Bacteroidetes(p)"
"unkn. Bacteroidales(o)","1821","2866","2888","2207","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;unkn. Bacteroidales(o);unkn. Bacteroidales(o);unkn. Bacteroidales(o)"
"unkn. Clostridia(c)","1678","3687","2974","972","Bacteria;Firmicutes;Clostridia;unkn. Clostridia(c);unkn. Clostridia(c);unkn. Clostridia(c);unkn. Clostridia(c)"
